"测试总结
（300字以上）",,,,,
,,,,,
 序号,测试用例名称,测试步骤,期望结果,实际结果,备注
1,用短信验证码登录网站,"1、登录站点。
2、打开登录页面。
3、选择“短信验证码登录”。
4、输入手机号和验证码。
5、登录。",可以正常登录,通过,
2,修改地址信息,"1、正常登录。
2、打开“我的账户”。
3、打开“地址簿”。
4、添加或修改地址信息。",可以正常建立和修改个人的地址信息,通过,
3,上传图片当头像,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
注：以上15条请填写执行正常操作的情况。,,,,,
,,,,,
16,用错误的官网账号和密码登录网站,"1、登录站点。
2、打开登录页面。
3、选择“用官网账号登录”。
4、输入错误的账号/密码。
5、登录。",跳转到错误提示页面。,通过,
17,搜索网站没有的产品信息,"1、正常登录。
2、在搜索栏输入网站没有的产品信息。",跳转到“未匹配”页面，点击“最新上架”和“畅销排行”链接能正常跳转。,未通过,点击“最新上架”和“畅销排行”链接，在等待时间内没反应。
18,,,,,
19,,,,,
20,,,,,
注：以上5条请填写执行异常操作的情况。,,,,,
